operation,branch,version_target,read_source,expected_version,input_versions,conflict_behavior
alerts.acknowledge,all,alerts,alerts.get,required,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
alerts.resolve,all,alerts,alerts.get,required,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
attachments.add,all,report,reports.get,required,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
automations.fire,all,none,none,omit,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
automations.save,id omitted,none,none,omit,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
automations.save,id present,automations,automations.list,required,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
baselines.save,id omitted,none,none,omit,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
baselines.save,id present,baselines,baselines.list,required,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
capabilities.save,id omitted,none,none,omit,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
capabilities.save,id present,capabilities,capabilities.list,required,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
commands.create,all,none,units.get,omit,expectedUnitVersion=UnitDetail.version,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
consents.update,all,consent,consents.get,required,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
contracts.save,id omitted,none,none,omit,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
contracts.save,id present,contracts,contracts.list,required,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
customers.save,id omitted,none,none,omit,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
customers.save,id present,customers,customers.list,required,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
demo.advanceClock,all,none,none,omit,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
demo.reset,all,none,none,omit,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
demo.trigger,all,none,none,omit,none,D01; version mismatch CONFLICT; missing/unneeded version VALIDATION; zero side effects
