requirement_id,origin,company_item_ids,original_phrases,design_supplement
FR-C01,Company original SRC-06 + added design details,BIZ-04;BIZ-08,For End Users/Clients / Technicians / Admin/HQ; Purpose is to monitor every aspect,Aggregation scope and missing data display
FR-C02,Company original SRC-06 + added design details,BIZ-07,Select for Categories,Hierarchy editing and deletion rules
FR-C03,Company original SRC-06 + added design details,BIZ-13,Thermostat / Remote Control,"Mode, fan speed, and response states"
FR-C04,Company original SRC-06 + added design details,BIZ-14,Lower Energy Bills / auto turn off,Weekday inputs and time conflict rules
FR-C05,Company original SRC-06 + added design details,BIZ-14;BIZ-15;BIZ-17,Lower Energy Bills / auto turn off; Dynamic Geofencing; Automated Comfort / open window or uninsulated wall,Consent withdrawal and condition priority
FR-C06,Company original SRC-06 + added design details,BIZ-16;BIZ-23,Time-of-Use-Shift / solar and/or other battery storage; Cut wasted run time by 10% to 20% / savings with our solution,"Comparison periods, tariff versions, and quality display"
FR-C07,Company original SRC-06 + added design details,BIZ-18;BIZ-19,How do you calculate the CO2 and air quality; ventilations control,Ventilation capability checks and missing data display
FR-C08,Company original SRC-06 + added design details,BIZ-08;BIZ-09;BIZ-17,Purpose is to monitor every aspect; Signals & Notifications; Automated Comfort / open window or uninsulated wall,Separate read status from alert resolution
FR-C09,Company original SRC-06 + added design details,BIZ-12,"general maintenance (regular, reactive and preventive)","Booking, cancellation, and job progress"
FR-C10,Company original SRC-06 + added design details,BIZ-21,payments are not made / slow down / stop,Contract lists and invoice states
FR-C11,Company original SRC-06 + added design details,BIZ-22,whatsapp and/or email / credit card or debit card,Payment states and notification previews
FR-C12,Company original SRC-06 + added design details,BIZ-21,payments are not made / slow down / stop,"Advance notice, grace periods, and pending release"
FR-C13,Company original SRC-06 + added design details,BIZ-23;BIZ-24;BIZ-25;BIZ-26,Cut wasted run time by 10% to 20% / savings with our solution; How do you offset carbon / exchange and/or offset; Digital MRV / Scope 2 Emission Auditing; Tokenized Carbon Offsets / with API to real time carbon trading platforms,"Demo requests, retirement states, and market concept display"
FR-P01,Production instructions SRC-02 + added design details,BIZ-04;BIZ-12,"For End Users/Clients / Technicians / Admin/HQ; general maintenance (regular, reactive and preventive)",Accepted-job dashboard
FR-P02,Production instructions SRC-02 + added design details,BIZ-12,"general maintenance (regular, reactive and preventive)",Acceptance and decline steps
FR-P03,Production instructions SRC-02 + added design details,BIZ-12,"general maintenance (regular, reactive and preventive)",Own staff assignment and qualification checks
FR-P04,Production instructions SRC-02 + added design details,BIZ-12,"general maintenance (regular, reactive and preventive)",Limited access to target units and alert evidence
FR-P05,Production instructions SRC-02 + added design details,BIZ-12,"general maintenance (regular, reactive and preventive)",Report quality review and return for rework
FR-P06,Production instructions SRC-02 + added design details,BIZ-12,"general maintenance (regular, reactive and preventive)","View own workers, qualifications, and availability"
FR-P07,Production instructions SRC-02 + added design details,BIZ-12;BIZ-20,"general maintenance (regular, reactive and preventive); gadget to be small / firmware / stolen and/or removed",Job communication and shared alerts
FR-P08,Production instructions SRC-02 + added design details,BIZ-12,"general maintenance (regular, reactive and preventive)",Access limits based on contractor and assignment period
FR-T01,Company original SRC-06 + added design details,BIZ-04;BIZ-08,For End Users/Clients / Technicians / Admin/HQ; Purpose is to monitor every aspect,Visibility limited by assignment period
FR-T02,Company original SRC-06 + added design details,BIZ-06;BIZ-07;BIZ-10,For HVAC / any air con brands; Select for Categories; Indoor Unit Parts / Outdoor Unit Parts / Electrical and Control Parts,Unit register fields and viewing steps
FR-T03,Company original SRC-06 + added design details,BIZ-08;BIZ-11,Purpose is to monitor every aspect; Predictive Maintenance / Predictive diagnostics,Series selection and quality display
FR-T04,Company original SRC-06 + added design details,BIZ-10,Indoor Unit Parts / Outdoor Unit Parts / Electrical and Control Parts,Inspection forms and reasons for not inspecting
FR-T05,Company original SRC-06 + added design details,BIZ-10,Indoor Unit Parts / Outdoor Unit Parts / Electrical and Control Parts,Inspection forms and reasons for not inspecting
FR-T06,Company original SRC-06 + added design details,BIZ-10,Indoor Unit Parts / Outdoor Unit Parts / Electrical and Control Parts,Inspection forms and reasons for not inspecting
FR-T07,Company original SRC-06 + added design details,BIZ-08;BIZ-11;BIZ-17,Purpose is to monitor every aspect; Predictive Maintenance / Predictive diagnostics; Automated Comfort / open window or uninsulated wall,"Possible causes, evidence, and resolution steps"
FR-T08,Company original SRC-06 + added design details,BIZ-12,"general maintenance (regular, reactive and preventive)","Start, submit, and resubmit states"
