Requirement ID,Requirement,Prepare,Detailed Design,UI/UX,API,Error Handling,Testable,Status
FR-C01,Summary scope and missing-data display,Prepare BIZ-04;BIZ-08,02-design/client.md DD-C01,SCR-C01,alerts.list;summaries.get;telemetry.summary;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C01-N;AT-C01-E;AT-C01-B; ,OK
FR-C02,Hierarchy editing and deletion rules,Prepare BIZ-07,02-design/client.md DD-C02,SCR-C02,properties.archive;properties.list;properties.save;spaces.archive;spaces.list;spaces.save;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C02-N;AT-C02-E;AT-C02-B; ,OK
FR-C03,"Mode, fan speed, and response status",Prepare BIZ-13,02-design/client.md DD-C03,SCR-C03,commands.create;commands.get;units.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C03-N;AT-C03-E;AT-C03-B; ,OK
FR-C04,Day-of-week input and time conflict rules,Prepare BIZ-14,02-design/client.md DD-C04,SCR-C04,automations.fire;automations.list;automations.nextRuns;automations.save;automations.simulate;commands.create;units.get;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C04-N;AT-C04-E;AT-C04-B; ,OK
FR-C05,Consent withdrawal and condition priority,Prepare BIZ-14;BIZ-15;BIZ-17,02-design/client.md DD-C05,SCR-C04,automations.fire;automations.save;automations.simulate;commands.create;consents.get;consents.update;units.get;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C05-N;AT-C05-E;AT-C05-B; ,OK
FR-C06,"Comparison period, tariff version, and quality display",Prepare BIZ-16;BIZ-23,02-design/client.md DD-C06,SCR-C06,baselines.list;energy.summary;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C06-N;AT-C06-E;AT-C06-B; ,OK
FR-C07,Ventilation capability checks and missing-data display,Prepare BIZ-18;BIZ-19,02-design/client.md DD-C07,SCR-C07,commands.create;commands.get;telemetry.series;units.get;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C07-N;AT-C07-E;AT-C07-B; ,OK
FR-C08,Separate read status from alert resolution,Prepare BIZ-08;BIZ-09;BIZ-17,02-design/client.md DD-C08,SCR-C08,alerts.list;notifications.list;notifications.markRead,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C08-N;AT-C08-E;AT-C08-B; ,OK
FR-C09,"Booking, cancellation, and job progress",Prepare BIZ-12,02-design/client.md DD-C09,SCR-C09,attachments.getContent;jobs.addNote;jobs.cancel;jobs.create;jobs.get;jobs.list;reports.get;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,NOT DEFINED: DEC-18; AT-C09-N;AT-C09-E;AT-C09-B; AT-REV16-005,INCOMPLETE
FR-C10,Contract list and invoice status,Prepare BIZ-21,02-design/client.md DD-C10,SCR-C10,contracts.list;invoices.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C10-N;AT-C10-E;AT-C10-B; ,OK
FR-C11,Payment status and notification preview,Prepare BIZ-22,02-design/client.md DD-C11,SCR-C11,invoices.get;notifications.preview;notifications.recipients;payments.simulate,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C11-N;AT-C11-E;AT-C11-B; ,OK
FR-C12,"Advance notice, grace periods, and pending release",Prepare BIZ-21,02-design/client.md DD-C12,SCR-C11,commands.get;inquiries.create;inquiries.list;restrictions.forInvoice,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C12-N;AT-C12-E;AT-C12-B;AT-C12-R01; ,OK
FR-C13,"Display simulated applications, retirement status, and the market concept",Prepare BIZ-23;BIZ-24;BIZ-25;BIZ-26,02-design/client.md DD-C13,SCR-C13,energy.summary;offsets.list;offsets.preview;offsets.simulate;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-C13-N;AT-C13-E;AT-C13-B; ,OK
FR-P01,Contracted jobs dashboard,Prepare BIZ-04;BIZ-12,02-design/contractor.md DD-P01,SCR-P01,jobs.get;jobs.list;summaries.get,D01/D04/D10/DDC-03; boundary conditions in each DD,NOT DEFINED: DEC-18; AT-P01-N;AT-P01-E;AT-P01-B; AT-REV16-002;AT-REV16-005,INCOMPLETE
FR-P02,Acceptance and decline procedure,Prepare BIZ-12,02-design/contractor.md DD-P02,SCR-P02,jobs.accept;jobs.decline;jobs.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-P02-N;AT-P02-E;AT-P02-B; ,OK
FR-P03,Assign company staff and check qualifications,Prepare BIZ-12,02-design/contractor.md DD-P03,SCR-P03,jobs.assign;jobs.list;members.eligible,D01/D04/D10/DDC-03; boundary conditions in each DD,NOT DEFINED: DEC-18; AT-P03-N;AT-P03-E;AT-P03-B;AT-P03-R01; AT-REV16-002;AT-REV16-005,INCOMPLETE
FR-P04,Limited access to target equipment and alert evidence,Prepare BIZ-12,02-design/contractor.md DD-P04,SCR-P04,alerts.list;telemetry.summary;units.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-P04-N;AT-P04-E;AT-P04-B; ,OK
FR-P05,Report quality review and return for correction,Prepare BIZ-12,02-design/contractor.md DD-P05,SCR-P05,attachments.getContent;jobs.get;jobs.review;reports.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-P05-N;AT-P05-E;AT-P05-B;AT-P05-R01; ,OK
FR-P06,"View company workers, qualifications, and availability",Prepare BIZ-12,02-design/contractor.md DD-P06,SCR-P06,jobs.list;members.capacity;members.list,D01/D04/D10/DDC-03; boundary conditions in each DD,NOT DEFINED: DEC-18; AT-P06-N;AT-P06-E;AT-P06-B; AT-REV16-002;AT-REV16-005,INCOMPLETE
FR-P07,Job communication and alert sharing,Prepare BIZ-12;BIZ-20,02-design/contractor.md DD-P07,SCR-P07,jobs.addNote;jobs.events;notifications.preview;notifications.recipients,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-P07-N;AT-P07-E;AT-P07-B;AT-P07-R01; ,OK
FR-P08,Access limits based on contractor and assignment period,Prepare BIZ-12,02-design/contractor.md DD-P08,SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07,jobs.get;session.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-P08-N;AT-P08-E;AT-P08-B; ,OK
FR-T01,Display scope based on assignment period,Prepare BIZ-04;BIZ-08,02-design/technician.md DD-T01,SCR-T01,alerts.list;jobs.list;summaries.get,D01/D04/D10/DDC-03; boundary conditions in each DD,NOT DEFINED: DEC-18; AT-T01-N;AT-T01-E;AT-T01-B; AT-REV16-002;AT-REV16-005,INCOMPLETE
FR-T02,Equipment register fields and viewing procedure,Prepare BIZ-06;BIZ-07;BIZ-10,02-design/technician.md DD-T02,SCR-T02,devices.list;units.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-T02-N;AT-T02-E;AT-T02-B; ,OK
FR-T03,Series selection and quality display,Prepare BIZ-08;BIZ-11,02-design/technician.md DD-T03,SCR-T02,telemetry.series;telemetry.summary,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-T03-N;AT-T03-E;AT-T03-B; ,OK
FR-T04,Inspection forms and reasons for skipped inspections,Prepare BIZ-10,02-design/technician.md DD-T04,SCR-T04,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-T04-N;AT-T04-E;AT-T04-B; ,OK
FR-T05,Inspection forms and reasons for skipped inspections,Prepare BIZ-10,02-design/technician.md DD-T05,SCR-T04,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-T05-N;AT-T05-E;AT-T05-B; ,OK
FR-T06,Inspection forms and reasons for skipped inspections,Prepare BIZ-10,02-design/technician.md DD-T06,SCR-T04,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-T06-N;AT-T06-E;AT-T06-B; ,OK
FR-T07,"Possible causes, evidence, and resolution procedure",Prepare BIZ-08;BIZ-11;BIZ-17,02-design/technician.md DD-T07,SCR-T07,alerts.acknowledge;alerts.get;alerts.list;alerts.resolve,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-T07-N;AT-T07-E;AT-T07-B; ,OK
FR-T08,"Start, submission, and resubmission states",Prepare BIZ-12,02-design/technician.md DD-T08,SCR-T04,jobs.get;jobs.resumeRework;jobs.start;jobs.submit;reports.get;units.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-T08-N;AT-T08-E;AT-T08-B; ,OK
FR-T09,"Manage photos, replacement parts, and report versions",Prepare BIZ-12,02-design/technician.md DD-T09,SCR-T04,attachments.add;attachments.getContent;jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-T09-N;AT-T09-E;AT-T09-B; ,OK
FR-T10,Technician operation permissions and test-run procedure,Prepare BIZ-13,02-design/technician.md DD-T10,SCR-T10,commands.create;commands.get;diagnosticRuns.create;diagnosticRuns.get;diagnosticRuns.list;jobs.get;units.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-T10-N;AT-T10-E;AT-T10-B;AT-T10-R01; ,OK
FR-T11,"Simulated registration, calibration, and update procedures",Prepare BIZ-20,02-design/technician.md DD-T11,SCR-T11,devices.bind;devices.calibrate;devices.calibrations;devices.check;devices.get;devices.list;devices.operations;devices.register;devices.updateFirmware;jobs.list;units.get;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-T11-N;AT-T11-E;AT-T11-B;AT-T11-R01; ,OK
FR-T12,"Distinguish communication loss, power loss, and removal",Prepare BIZ-20,02-design/technician.md DD-T12,SCR-T12,alerts.acknowledge;alerts.get;devices.addResponseNote;devices.events;devices.get,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-T12-N;AT-T12-E;AT-T12-B; ,OK
FR-A01,Overall summary and links to assigned work,Prepare BIZ-04;BIZ-08,02-design/admin.md DD-A01,SCR-A01,admin.summary,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A01-N;AT-A01-E;AT-A01-B; ,OK
FR-A02,"Registration, editing, and archiving",Prepare BIZ-07,02-design/admin.md DD-A02,SCR-A02,capabilities.list;commands.create;commands.get;customers.list;customers.save;diagnosticRuns.get;diagnosticRuns.list;organizations.list;organizations.save;properties.list;properties.save;spaces.list;spaces.save;units.archive;units.delete;units.get;units.list;units.save,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A02-N;AT-A02-E;AT-A02-B; ,OK
FR-A03,"Manage permissions, organization membership, and assignment periods",Prepare BIZ-04,02-design/admin.md DD-A03,SCR-A03,members.list;members.save;organizations.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A03-N;AT-A03-E;AT-A03-B; ,OK
FR-A04,Edit model capabilities and the IoT register,Prepare BIZ-06;BIZ-20,02-design/admin.md DD-A04,SCR-A04,capabilities.list;capabilities.save;devices.bind;devices.calibrate;devices.calibrations;devices.check;devices.get;devices.list;devices.operations;devices.register;devices.updateFirmware;units.get;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A04-N;AT-A04-E;AT-A04-B; ,OK
FR-A05,Threshold settings and alert handling,Prepare BIZ-08;BIZ-11;BIZ-17,02-design/admin.md DD-A05,SCR-A05,alerts.acknowledge;alerts.get;alerts.list;alerts.resolve;notifications.preview;notifications.recipients;policies.get;policies.list;policies.save;units.get;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A05-N;AT-A05-E;AT-A05-B; ,OK
FR-A06,"Intake, contracting, and quality review",Prepare BIZ-12,02-design/admin.md DD-A06,SCR-A06,attachments.getContent;jobs.assign;jobs.cancel;jobs.create;jobs.extendAccess;jobs.get;jobs.hold;jobs.list;jobs.offer;jobs.resumeHold;jobs.review;jobs.saveCost;members.eligible;organizations.list;plans.generateNext;plans.get;plans.list;plans.save;reports.get;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,NOT DEFINED: DEC-18; AT-A06-N;AT-A06-E;AT-A06-B; AT-REV16-005,INCOMPLETE
FR-A07,Plan and contract editing,Prepare BIZ-21,02-design/admin.md DD-A07,SCR-A07,contracts.list;contracts.save;customers.list;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A07-N;AT-A07-E;AT-A07-B; ,OK
FR-A08,Billing and simulated payment confirmation,Prepare BIZ-21;BIZ-22,02-design/admin.md DD-A08,SCR-A08,contracts.list;inquiries.answer;inquiries.list;invoices.create;invoices.get;invoices.list;notifications.preview;notifications.recipients;payments.confirm;payments.recordManual;invoices.remind,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A08-N;AT-A08-E;AT-A08-B;AT-A08-R01; ,OK
FR-A09,"Advance notice, execution confirmation, and device response",Prepare BIZ-21,02-design/admin.md DD-A09,SCR-A09,commands.get;contracts.list;invoices.list;restrictions.execute;restrictions.get;restrictions.list;restrictions.reconcile;restrictions.release;restrictions.retry;restrictions.schedule;units.get;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A09-N;AT-A09-E;AT-A09-B;AT-A09-R01; ,OK
FR-A10,"Grace periods, exceptions, and audit procedures",Prepare BIZ-21,02-design/admin.md DD-A10,SCR-A10,audit.list;restrictions.cancel;restrictions.defer;restrictions.exempt;restrictions.get;restrictions.list;restrictions.override;restrictions.reconcile;restrictions.retry,D01/D04/D10/DDC-03; boundary conditions in each DD,NOT DEFINED: DEC-17; AT-A10-N;AT-A10-E;AT-A10-B; AT-REV16-001,CONFLICT
FR-A11,Condition settings and simulation,Prepare BIZ-14;BIZ-16;BIZ-17,02-design/admin.md DD-A11,SCR-A11,automations.fire;automations.simulate;policies.get;policies.list;policies.save;units.get;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A11-N;AT-A11-E;AT-A11-B;AT-A11-R01; ,OK
FR-A12,Ventilation rules and missing-data handling,Prepare BIZ-18;BIZ-19,02-design/admin.md DD-A12,SCR-A12,automations.fire;automations.simulate;commands.create;commands.get;notifications.recipients;policies.get;policies.list;policies.save;telemetry.series;units.get;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A12-N;AT-A12-E;AT-A12-B; ,OK
FR-A13,Manage baseline versions and calculation conditions,Prepare BIZ-23;BIZ-25,02-design/admin.md DD-A13,SCR-A13,baselines.list;baselines.save;energy.summary;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A13-N;AT-A13-E;AT-A13-B; ,OK
FR-A14,"Report fields, evidence, and preview",Prepare BIZ-25,02-design/admin.md DD-A14,SCR-A14,baselines.list;factors.list;factors.save;mrv.get;mrv.list;mrv.preview;mrv.recordReview;mrv.saveDraft;mrv.versions;organizations.list;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A14-N;AT-A14-E;AT-A14-B;AT-A14-R01; ,OK
FR-A15,Preview simulated retirement and the market concept,Prepare BIZ-24;BIZ-26,02-design/admin.md DD-A15,SCR-A15,customers.list;offsets.list;offsets.preview;offsets.simulate;units.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A15-N;AT-A15-E;AT-A15-B; ,OK
FR-A16,Audit filters and correlation IDs,Prepare BIZ-20,02-design/admin.md DD-A16,SCR-A16,audit.list;commands.get;devices.events;devices.list,D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-A16-N;AT-A16-E;AT-A16-B; AT-REV16-003;AT-REV16-004,OK
FR-X01,"Four-role demo, initial en/ms languages, and reset wording",Prepare BIZ-01;BIZ-02,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-X01; ,OK
FR-X02,"Extend voice responses to temperature queries, device operations, and inquiries; voice demo, text alternative, and change confirmation",Prepare BIZ-03,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-X02; ,OK
FR-X03,"Color meanings, units, quality, and cues other than color",Prepare BIZ-09;BIZ-18,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-X03; ,OK
FR-X04,"Display limits based on role, assignment, period, and capability",Prepare BIZ-04,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-X04; AT-REV16-001;AT-REV16-004,OK
