case_id,finding_id,review_id,requirement_ids,contract,given,when,then,decision_status,execution_status
AT-STRICT-001,REV-001,STRICT-DOC-0.8.0-2026-09-16,FR-P01;FR-P02;FR-P08,02-design/strict-review-contracts.md#sr01-conflict-detection-before-acceptance,Offer projection before acceptance; Job v3,"Accept with v3, then decline with old v3",jobVersion available; first succeeds; conflicting request gives CONFLICT with zero changes,specified,not_run
AT-STRICT-002,REV-002,STRICT-DOC-0.8.0-2026-09-16,FR-A09;FR-A15;FR-C13;FR-X01,02-design/strict-review-contracts.md#sr02-write-version-contracts,All writes/input branches and current versions of related resources,Send omitted/correct/old/unneeded versions per operation table,Missing required version or supplying an omit version gives VALIDATION; old version gives CONFLICT; create does not require nonexistent versions,specified,not_run
AT-STRICT-003,REV-003,STRICT-DOC-0.8.0-2026-09-16,FR-A03;FR-P08;FR-X01;FR-X04,02-design/strict-review-contracts.md#sr03-scope-types-and-containment,Empty scope/other organization/Property descendants/expired external assignment,Run list/get/write/summary for each scope,"Empty scope: list0/individual NOT_FOUND, zero side effects. Role, scope, and valid outsourcing are intersected",specified,not_run
AT-STRICT-004,REV-004,STRICT-DOC-0.8.0-2026-09-16,FR-A09;FR-A14;FR-T04;FR-T05;FR-T06;FR-T09;FR-T11,02-design/strict-review-contracts.md#sr04-screen-fetch-order-and-candidates,Direct access to each screen; no candidate selected,"Fetch candidates, select, fetch details in SR04 order",All required IDs/versions come from read responses; zero dependent queries before selection,specified,not_run
AT-STRICT-005,REV-005,STRICT-DOC-0.8.0-2026-09-16,FR-C03;FR-T10;FR-X06,02-design/strict-review-contracts.md#sr05-logical-restrictions-and-observations,Restriction requested/applied/release_requested/expired,Evaluate same UnitAction in UI/Repository with units.get,Same effectiveControlPolicy decision; observations or timeout alone do not release,specified,not_run
AT-STRICT-006,REV-006,STRICT-DOC-0.8.0-2026-09-16,FR-A01;FR-A08;FR-C01;FR-C02;FR-C10;FR-P01;FR-T01,02-design/strict-review-contracts.md#sr06-filters-and-kpi-navigation,"Multiple statuses, connection-unknown group, nested Spaces, due-date boundary",Navigate from KPI and fetch list with same conditions,Sets/counts match SR06; simultaneous status/statuses gives VALIDATION,specified,not_run
AT-STRICT-007,REV-007,STRICT-DOC-0.8.0-2026-09-16,FR-T04;FR-T05;FR-T06;FR-T09,02-design/strict-review-contracts.md#sr07-inspection-inputs-and-authors,"New draft, saved items, measurement ID from another report",Save input-only DTO→change one item→save,"Keep item IDs, matching measurement sensorId, unchanged authors; reject another report's ID",specified,not_run
AT-STRICT-008,REV-008,STRICT-DOC-0.8.0-2026-09-16,FR-A02;FR-A04;FR-T10;FR-T11,02-design/strict-review-contracts.md#sr08-history-reads,More than two history pages; HQ and assigned technician,Fetch history list/detail; specify out-of-scope Unit,"All history reachable, stable order, out-of-scope NOT_FOUND; HQ read adds no write permission",specified,not_run
AT-STRICT-009,REV-009,STRICT-DOC-0.8.0-2026-09-16,FR-A14;FR-C06;FR-C13,02-design/strict-review-contracts.md#sr09-calculation-evidence-and-old-versions,"Save MRV v1, then update factor/baseline",Save v2→versions→get(v1),v1 values/factor/baseline unchanged; only latest editable; old-version review gives CONFLICT,specified,not_run
AT-STRICT-010,REV-010,STRICT-DOC-0.8.0-2026-09-16,FR-A02;FR-A09;FR-C01;NFR-07,02-design/strict-review-contracts.md#sr10-acceptance-criteria-consistency,"Active dependencies/history only, not_required Unit, other-customer ID",Execute every branch of AT-A02-B/A09-R01/C01-E,Reject archive with active dependencies; allow with history only; release conditions match; individual other-customer gives NOT_FOUND,specified,not_run
AT-STRICT-011,REV-011,STRICT-DOC-0.8.0-2026-09-16,FR-A14;FR-C02;FR-T11,02-design/strict-review-contracts.md#sr11-url-selection-values,URL with selection and URL with invalid parent-child relationship,"Reload, Back, Forward",Restore selection/version; invalid relationship gives VALIDATION; invisible ID gives not-found,specified,not_run
AT-STRICT-012,REV-012,STRICT-DOC-0.8.0-2026-09-16,FR-A05;FR-X03;FR-X07,02-design/strict-review-contracts.md#sr12-notifications-without-recipients,Alert with zero recipients; repeated eventId,Fire→retry→HQ/customer read,"Zero Notifications, one DeliveryFailure, empty customer array; failure details do not leak recipients",specified,not_run
AT-STRICT-013,REV-013,STRICT-DOC-0.8.0-2026-09-16,FR-A06;FR-P03;FR-P06;FR-T04;FR-T11,02-design/strict-review-contracts.md#sr13-demo-qualifications,Qualification expires before/at/after work end; revocation event,eligible→assign→revoke during work→write,Validate qualification for entire slot; writes after expiry give FORBIDDEN; keep history,specified,not_run
