company_item_id,origin,source_id,source_locator,topic,request_nature,company_request_summary,frontend_interpretation,related_requirement_ids,coverage_note
BIZ-01,Company original,SRC-06,Sign In / Sign Out / Forget Password,Common access,Request,"Sign in, sign out, and reset passwords","Entry, exit, and reset screens with demo actions",FR-X01,"FR-X01 defines screens, actions, and acceptance criteria"
BIZ-02,Company original,SRC-06,In any language text,Language,Request,Display in a chosen language,Language switching and translatable screens; initial languages defined separately,FR-X01;NFR-08,Initial English and Malay support is a design proposal
BIZ-03,Company original,SRC-06,respond to voice ai,Voice,Request,Voice AI responses,"Demo voice input and responses, with text fallback; temperature queries and device control are design proposals",FR-X02,The original does not explicitly request device changes through voice. Real voice integration is out of scope
BIZ-04,Company original,SRC-06,For End Users/Clients / Technicians / Admin/HQ,Users,Request,"Visual dashboards for customers, internal/external technicians, and administrators/HQ","Show each role's metrics, states, and next actions",FR-C01;FR-P01;FR-T01;FR-A01;FR-A03;FR-X04,A separate contractor role is the document authors' production instruction
BIZ-05,Company original,SRC-06,For Split Unit Air Con (phase 1),Phased development,Request,"Start with split AC units and clickable UI/UX, then build the full solution","Design screens, actions, and simulated states for split units",FR-X05;FR-X06;NFR-01;NFR-02;NFR-03;NFR-04;NFR-05;NFR-06;NFR-07,Current deliverables are frontend documents
BIZ-06,Company original,SRC-06,For HVAC / any air con brands,Future scope,Future concept,"HVAC in Phase 2, with support for more brands, split units, central AC, and cassette units","Distinguish device types, models, and supported features",FR-T02;FR-A04;FR-X06,Proving support for every brand is out of scope
BIZ-07,Company original,SRC-06,Select for Categories,Location management,Request,"Manage homes/offices by area, floor, room, and space",Select units from a location hierarchy and check their status,FR-C02;FR-T02;FR-A02,Registration and editing steps are added design details
BIZ-08,Company original,SRC-06,Purpose is to monitor every aspect,Monitoring and notifications,Request,Detect faults before or when they occur and notify in real time,"Show readings, alerts, update times, and next actions using synthetic data",FR-C01;FR-C08;FR-T01;FR-T03;FR-T07;FR-A01;FR-A05;FR-X07,Detectable conditions and accuracy are unconfirmed
BIZ-09,Company original,SRC-06,Signals & Notifications,Status display,Request,"Red, orange, and green signals and notifications","Show severity using colors, text, and icons",FR-C08;FR-X03,The exact meaning of each color is a design proposal
BIZ-10,Company original,SRC-06,Indoor Unit Parts / Outdoor Unit Parts / Electrical and Control Parts,Component management,Request/examples,"Check indoor, outdoor, electrical, and control components","Component status, evidence, and inspection records; target components are listed in the table below",FR-T02;FR-T04;FR-T05;FR-T06,Inspection input and approval flows are added design details
