Requirement ID,Requirement,Prepare,Detailed Design,UI/UX,API,Error Handling,Testable,Status
FR-C01,Summary scope and missing-data display,00-prepare/PrepareDocument.md BIZ-04;BIZ-08,02-design/client.md DD-C01,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.list;summaries.get;telemetry.summary;units.list,D01/D04/D10; error cases in each DD,AT-C01-N;AT-C01-E;AT-C01-B;,OK
FR-C02,Hierarchy editing and deletion rules,00-prepare/PrepareDocument.md BIZ-07,02-design/client.md DD-C02,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,properties.archive;properties.list;properties.save;spaces.archive;spaces.list;spaces.save;units.list,D01/D04/D10; error cases in each DD,AT-C02-N;AT-C02-E;AT-C02-B;,OK
FR-C03,"Mode, fan speed, and response status",00-prepare/PrepareDocument.md BIZ-13,02-design/client.md DD-C03,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,commands.create;commands.get;units.get,D01/D04/D10; error cases in each DD,AT-C03-N;AT-C03-E;AT-C03-B;,OK
FR-C04,Day-of-week input and time conflict rules,00-prepare/PrepareDocument.md BIZ-14,02-design/client.md DD-C04,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,automations.fire;automations.list;automations.nextRuns;automations.save;automations.simulate;commands.create;units.get;units.list,D01/D04/D10; error cases in each DD,AT-C04-N;AT-C04-E;AT-C04-B;AT-LOOP-004,OK
FR-C05,Consent withdrawal and condition priority,00-prepare/PrepareDocument.md BIZ-14;BIZ-15;BIZ-17,02-design/client.md DD-C05,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,automations.fire;automations.save;automations.simulate;commands.create;consents.get;consents.update;units.get;units.list,D01/D04/D10; error cases in each DD,AT-C05-N;AT-C05-E;AT-C05-B;AT-LOOP-004,OK
FR-C06,"Comparison period, tariff version, and quality display",00-prepare/PrepareDocument.md BIZ-16;BIZ-23,02-design/client.md DD-C06,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,baselines.list;energy.summary;units.list,D01/D04/D10; error cases in each DD,AT-C06-N;AT-C06-E;AT-C06-B;,OK
FR-C07,Ventilation capability checks and missing-data display,00-prepare/PrepareDocument.md BIZ-18;BIZ-19,02-design/client.md DD-C07,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,commands.create;commands.get;telemetry.series;units.get;units.list,D01/D04/D10; error cases in each DD,AT-C07-N;AT-C07-E;AT-C07-B;,OK
FR-C08,Separate read status from alert resolution,00-prepare/PrepareDocument.md BIZ-08;BIZ-09;BIZ-17,02-design/client.md DD-C08,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.list;notifications.list;notifications.markRead,D01/D04/D10; error cases in each DD,AT-C08-N;AT-C08-E;AT-C08-B;,OK
FR-C09,"Booking, cancellation, and job progress",00-prepare/PrepareDocument.md BIZ-12,02-design/client.md DD-C09,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,attachments.getContent;jobs.addNote;jobs.cancel;jobs.create;jobs.get;jobs.list;reports.get;units.list,D01/D04/D10; error cases in each DD,AT-C09-N;AT-C09-E;AT-C09-B;,OK
FR-C10,Contract list and invoice status,00-prepare/PrepareDocument.md BIZ-21,02-design/client.md DD-C10,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,contracts.list;invoices.list,D01/D04/D10; error cases in each DD,AT-C10-N;AT-C10-E;AT-C10-B;,OK
