operation,allowed_filters,allowed_sort,default_sort,enum_source,cursor,filter_mapping,sort_mapping
alerts.list,"unitId,unitIds,severity,status,from,to,customerId,propertyId","id,createdAt,updatedAt,severity",severity desc;id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,"unitId => unitId; unitIds => unitIds; severity => severity; status => status; from/to => [from,to) on observedAt; SR06 derived filter definitions","severity asc=normal,warning,critical; desc reverses this; other keys use matching DTO fields"
audit.list,"actorId,targetId,from,to,result,correlationId","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,"actorId => actorId; targetId => targetRef.id; result => result; correlationId => correlationId; from/to => [from,to) on occurredAt","Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
automations.list,"unitId,enabled,kind","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,unitId => unitIds contains; enabled => enabled; kind => kind,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
baselines.list,"unitId,unitIds,from,to","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,"unitId => unitIds contains; unitIds => unitIds intersection nonempty; from/to => [from,to) on period.from","Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
capabilities.list,,"id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,none,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
contracts.list,"customerId,unitId,kind","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,customerId => customerId; unitId => unitIds contains; kind => planType,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
customers.list,"kind,status,organizationId","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,kind => serviceProfile; status => status; organizationId => organizationId,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
devices.events,"from,to","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,"from/to => [from,to) on occurredAt","Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
devices.list,"unitId,status","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,unitId => unitId; status => connection,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
factors.list,,"id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,none,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
inquiries.list,"invoiceId,restrictionId,status","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,invoiceId => invoiceId; restrictionId => restrictionId; status => state,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
invoices.list,"contractId,status,from,to,customerId,propertyId,overdueOnly","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,"contractId => contractId; status => status; from/to => [from,to) on period.from; SR06 derived filter definitions","Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
jobs.events,"from,to","id,occurredAt",occurredAt asc;id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,"from/to => [from,to) on occurredAt","Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
jobs.list,"unitId,unitIds,status,severity,from,to,organizationId,membershipId,customerId,propertyId,statuses,overdueOnly","id,severity,dueAt,status",status asc;id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,IR23: projection first; summary uses published fields and authorized joins; offer uses public status/requestedSlot/dueAt; history uses frozen status/completedAt; hidden filters never match; IR32 unitIds: public summary.unitId membership; empty zero; offer/history never match,IR23: severity normal<warning<critical; null last in both directions; stable id/jobId asc; no hidden Job fields; IR34 status rank: requested<offered<accepted<assigned<in_progress<on_hold<submitted<rework_requested<completed<cancelled; desc reverses rank only; tie id/jobId asc
members.capacity,"organizationId,qualification,activeOnly",id,id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,organizationId => Membership.organizationId; qualification => matching valid Membership.qualifications[].code (SR13); activeOnly => true => validFrom<=now<validUntil (null end infinite); false => no validity filter; IR94: eligible/capacity return role=technician only; contractor members.list returns own-company technicians only,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
members.eligible,"organizationId,qualification,activeOnly","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,organizationId => Membership.organizationId; qualification => matching valid Membership.qualifications[].code (SR13); activeOnly => true => validFrom<=now<validUntil (null end infinite); false => no validity filter; IR94: eligible/capacity return role=technician only; contractor members.list returns own-company technicians only,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
members.list,"organizationId,qualification,activeOnly","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,organizationId => Membership.organizationId; qualification => matching valid Membership.qualifications[].code (SR13); activeOnly => true => validFrom<=now<validUntil (null end infinite); false => no validity filter; IR94: eligible/capacity return role=technician only; contractor members.list returns own-company technicians only,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
