Requirement ID,Requirement,Prepare,Detailed Design,UI/UX,API,Error Handling,Testable,Status
FR-C01,集計範囲・欠測表示,00-prepare/PrepareDocument.md BIZ-04;BIZ-08,02-design/client.md DD-C01,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.list;summaries.get;telemetry.summary;units.list,D01/D04/D10、各DDの異常系,AT-C01-N;AT-C01-E;AT-C01-B;,OK
FR-C02,階層編集・削除規則,00-prepare/PrepareDocument.md BIZ-07,02-design/client.md DD-C02,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,properties.archive;properties.list;properties.save;spaces.archive;spaces.list;spaces.save;units.list,D01/D04/D10、各DDの異常系,AT-C02-N;AT-C02-E;AT-C02-B;,OK
FR-C03,モード・風量・応答状態,00-prepare/PrepareDocument.md BIZ-13,02-design/client.md DD-C03,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,commands.create;commands.get;units.get,D01/D04/D10、各DDの異常系,AT-C03-N;AT-C03-E;AT-C03-B;,OK
FR-C04,曜日入力・時間競合の規則,00-prepare/PrepareDocument.md BIZ-14,02-design/client.md DD-C04,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,automations.fire;automations.list;automations.nextRuns;automations.save;automations.simulate;commands.create;units.get;units.list,D01/D04/D10、各DDの異常系,AT-C04-N;AT-C04-E;AT-C04-B;AT-LOOP-004,OK
FR-C05,同意取消・条件優先順,00-prepare/PrepareDocument.md BIZ-14;BIZ-15;BIZ-17,02-design/client.md DD-C05,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,automations.fire;automations.save;automations.simulate;commands.create;consents.get;consents.update;units.get;units.list,D01/D04/D10、各DDの異常系,AT-C05-N;AT-C05-E;AT-C05-B;AT-LOOP-004,OK
FR-C06,比較期間・料金版・品質表示,00-prepare/PrepareDocument.md BIZ-16;BIZ-23,02-design/client.md DD-C06,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,baselines.list;energy.summary;units.list,D01/D04/D10、各DDの異常系,AT-C06-N;AT-C06-E;AT-C06-B;,OK
FR-C07,換気能力判定・欠測表示,00-prepare/PrepareDocument.md BIZ-18;BIZ-19,02-design/client.md DD-C07,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,commands.create;commands.get;telemetry.series;units.get;units.list,D01/D04/D10、各DDの異常系,AT-C07-N;AT-C07-E;AT-C07-B;,OK
FR-C08,既読と異常解消の分離,00-prepare/PrepareDocument.md BIZ-08;BIZ-09;BIZ-17,02-design/client.md DD-C08,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.list;notifications.list;notifications.markRead,D01/D04/D10、各DDの異常系,AT-C08-N;AT-C08-E;AT-C08-B;,OK
FR-C09,予約・取消・案件進捗,00-prepare/PrepareDocument.md BIZ-12,02-design/client.md DD-C09,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,attachments.getContent;jobs.addNote;jobs.cancel;jobs.create;jobs.get;jobs.list;reports.get;units.list,D01/D04/D10、各DDの異常系,AT-C09-N;AT-C09-E;AT-C09-B;,OK
FR-C10,契約一覧・請求状態,00-prepare/PrepareDocument.md BIZ-21,02-design/client.md DD-C10,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,contracts.list;invoices.list,D01/D04/D10、各DDの異常系,AT-C10-N;AT-C10-E;AT-C10-B;,OK
FR-C11,決済状態と通知プレビュー,00-prepare/PrepareDocument.md BIZ-22,02-design/client.md DD-C11,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,invoices.get;notifications.preview;notifications.recipients;payments.simulate,D01/D04/D10、各DDの異常系,AT-C11-N;AT-C11-E;AT-C11-B;,OK
FR-C12,予告・猶予・解除保留,00-prepare/PrepareDocument.md BIZ-21,02-design/client.md DD-C12,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,commands.get;inquiries.create;inquiries.list;restrictions.forInvoice,D01/D04/D10、各DDの異常系,AT-C12-N;AT-C12-E;AT-C12-B;AT-C12-R01;,OK
FR-C13,模擬申込・償却状態・市場構想の表示,00-prepare/PrepareDocument.md BIZ-23;BIZ-24;BIZ-25;BIZ-26,02-design/client.md DD-C13,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,energy.summary;offsets.list;offsets.preview;offsets.simulate;units.list,D01/D04/D10、各DDの異常系,AT-C13-N;AT-C13-E;AT-C13-B;,OK
FR-P01,受託案件ダッシュボード,00-prepare/PrepareDocument.md BIZ-04;BIZ-12,02-design/contractor.md DD-P01,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;jobs.list;summaries.get,D01/D04/D10、各DDの異常系,AT-P01-N;AT-P01-E;AT-P01-B;AT-LOOP-001;AT-LOOP-002;AT-LOOP-003;AT-G1-001;AT-G1-002;AT-G1-004;AT-G1-005,OK
FR-P02,受諾・辞退の手順,00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P02,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.accept;jobs.decline;jobs.get,D01/D04/D10、各DDの異常系,AT-P02-N;AT-P02-E;AT-P02-B;AT-LOOP-001,OK
FR-P03,自社担当割当と資格確認,00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P03,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.assign;jobs.list;members.eligible,D01/D04/D10、各DDの異常系,AT-P03-N;AT-P03-E;AT-P03-B;AT-P03-R01;,OK
FR-P04,対象設備・異常根拠の限定閲覧,00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P04,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.list;telemetry.summary;units.get,D01/D04/D10、各DDの異常系,AT-P04-N;AT-P04-E;AT-P04-B;,OK
FR-P05,報告の品質確認・差戻し,00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P05,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,attachments.getContent;jobs.get;jobs.review;reports.get,D01/D04/D10、各DDの異常系,AT-P05-N;AT-P05-E;AT-P05-B;AT-P05-R01;AT-G1-004;AT-G1-006,OK
FR-P06,自社作業者・資格・稼働の閲覧,00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P06,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.list;members.capacity;members.list,D01/D04/D10、各DDの異常系,AT-P06-N;AT-P06-E;AT-P06-B;,OK
FR-P07,案件連絡・異常の共有,00-prepare/PrepareDocument.md BIZ-12;BIZ-20,02-design/contractor.md DD-P07,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.addNote;jobs.events;notifications.preview;notifications.recipients,D01/D04/D10、各DDの異常系,AT-P07-N;AT-P07-E;AT-P07-B;AT-P07-R01;,OK
FR-P08,委託先・担当期間に基づくアクセス制限,00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P08,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;session.get,D01/D04/D10、各DDの異常系,AT-P08-N;AT-P08-E;AT-P08-B;AT-LOOP-002;AT-G1-004,OK
FR-T01,担当期間による表示範囲,00-prepare/PrepareDocument.md BIZ-04;BIZ-08,02-design/technician.md DD-T01,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.list;jobs.list;summaries.get,D01/D04/D10、各DDの異常系,AT-T01-N;AT-T01-E;AT-T01-B;AT-LOOP-002;AT-LOOP-003;AT-G1-005,OK
FR-T02,設備台帳の項目と閲覧手順,00-prepare/PrepareDocument.md BIZ-06;BIZ-07;BIZ-10,02-design/technician.md DD-T02,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,devices.list;units.get,D01/D04/D10、各DDの異常系,AT-T02-N;AT-T02-E;AT-T02-B;,OK
FR-T03,系列選択と品質表示,00-prepare/PrepareDocument.md BIZ-08;BIZ-11,02-design/technician.md DD-T03,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,telemetry.series;telemetry.summary,D01/D04/D10、各DDの異常系,AT-T03-N;AT-T03-E;AT-T03-B;,OK
FR-T04,点検フォーム・未点検理由,00-prepare/PrepareDocument.md BIZ-10,02-design/technician.md DD-T04,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10、各DDの異常系,AT-T04-N;AT-T04-E;AT-T04-B;,OK
FR-T05,点検フォーム・未点検理由,00-prepare/PrepareDocument.md BIZ-10,02-design/technician.md DD-T05,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10、各DDの異常系,AT-T05-N;AT-T05-E;AT-T05-B;,OK
FR-T06,点検フォーム・未点検理由,00-prepare/PrepareDocument.md BIZ-10,02-design/technician.md DD-T06,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10、各DDの異常系,AT-T06-N;AT-T06-E;AT-T06-B;,OK
FR-T07,原因候補と根拠・解消手順,00-prepare/PrepareDocument.md BIZ-08;BIZ-11;BIZ-17,02-design/technician.md DD-T07,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.acknowledge;alerts.get;alerts.list;alerts.resolve,D01/D04/D10、各DDの異常系,AT-T07-N;AT-T07-E;AT-T07-B;,OK
FR-T08,開始・提出・再提出の状態,00-prepare/PrepareDocument.md BIZ-12,02-design/technician.md DD-T08,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;jobs.resumeRework;jobs.start;jobs.submit;reports.get;units.get,D01/D04/D10、各DDの異常系,AT-T08-N;AT-T08-E;AT-T08-B;,OK
FR-T09,写真・交換部品・報告版の管理,00-prepare/PrepareDocument.md BIZ-12,02-design/technician.md DD-T09,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,attachments.add;attachments.getContent;jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10、各DDの異常系,AT-T09-N;AT-T09-E;AT-T09-B;AT-G1-006,OK
FR-T10,技術者の操作権限と試運転手順,00-prepare/PrepareDocument.md BIZ-13,02-design/technician.md DD-T10,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,commands.create;commands.get;diagnosticRuns.create;diagnosticRuns.get;diagnosticRuns.list;jobs.get;units.get,D01/D04/D10、各DDの異常系,AT-T10-N;AT-T10-E;AT-T10-B;AT-T10-R01;,OK
FR-T11,登録・校正・更新の模擬手順,00-prepare/PrepareDocument.md BIZ-20,02-design/technician.md DD-T11,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,devices.bind;devices.calibrate;devices.calibrations;devices.check;devices.get;devices.list;devices.operations;devices.register;devices.updateFirmware;jobs.list;units.get;units.list,D01/D04/D10、各DDの異常系,AT-T11-N;AT-T11-E;AT-T11-B;AT-T11-R01;,OK
FR-T12,通信断・電源断と取り外しの区別,00-prepare/PrepareDocument.md BIZ-20,02-design/technician.md DD-T12,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.acknowledge;alerts.get;devices.addResponseNote;devices.events;devices.get,D01/D04/D10、各DDの異常系,AT-T12-N;AT-T12-E;AT-T12-B;,OK
FR-A01,全体集計・担当導線,00-prepare/PrepareDocument.md BIZ-04;BIZ-08,02-design/admin.md DD-A01,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,admin.summary,D01/D04/D10、各DDの異常系,AT-A01-N;AT-A01-E;AT-A01-B;,OK
FR-A02,登録・編集・アーカイブ,00-prepare/PrepareDocument.md BIZ-07,02-design/admin.md DD-A02,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,capabilities.list;commands.create;commands.get;customers.list;customers.save;diagnosticRuns.get;diagnosticRuns.list;organizations.list;organizations.save;properties.list;properties.save;spaces.list;spaces.save;units.archive;units.delete;units.get;units.list;units.save,D01/D04/D10、各DDの異常系,AT-A02-N;AT-A02-E;AT-A02-B;AT-G1-002,OK
FR-A03,権限・所属・担当期間の管理,00-prepare/PrepareDocument.md BIZ-04,02-design/admin.md DD-A03,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,members.list;members.save;organizations.list,D01/D04/D10、各DDの異常系,AT-A03-N;AT-A03-E;AT-A03-B;,OK
FR-A04,機種能力・IoT台帳の編集,00-prepare/PrepareDocument.md BIZ-06;BIZ-20,02-design/admin.md DD-A04,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,capabilities.list;capabilities.save;devices.bind;devices.calibrate;devices.calibrations;devices.check;devices.get;devices.list;devices.operations;devices.register;devices.updateFirmware;units.get;units.list,D01/D04/D10、各DDの異常系,AT-A04-N;AT-A04-E;AT-A04-B;AT-LOOP-004;AT-LOOP-005,OK
FR-A05,しきい値の設定と異常処理,00-prepare/PrepareDocument.md BIZ-08;BIZ-11;BIZ-17,02-design/admin.md DD-A05,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.acknowledge;alerts.get;alerts.list;alerts.resolve;notifications.preview;notifications.recipients;policies.get;policies.list;policies.save;units.get;units.list,D01/D04/D10、各DDの異常系,AT-A05-N;AT-A05-E;AT-A05-B;,OK
FR-A06,受付・委託・品質確認,00-prepare/PrepareDocument.md BIZ-12,02-design/admin.md DD-A06,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,attachments.getContent;jobs.assign;jobs.cancel;jobs.create;jobs.extendAccess;jobs.get;jobs.hold;jobs.list;jobs.offer;jobs.resumeHold;jobs.review;jobs.saveCost;members.eligible;organizations.list;plans.generateNext;plans.get;plans.list;plans.save;reports.get;units.list,D01/D04/D10、各DDの異常系,AT-A06-N;AT-A06-E;AT-A06-B;AT-G1-004;AT-G1-006,OK
FR-A07,プラン・契約編集,00-prepare/PrepareDocument.md BIZ-21,02-design/admin.md DD-A07,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,contracts.list;contracts.save;customers.list;units.list,D01/D04/D10、各DDの異常系,AT-A07-N;AT-A07-E;AT-A07-B;,OK
FR-A08,請求・模擬入金確認,00-prepare/PrepareDocument.md BIZ-21;BIZ-22,02-design/admin.md DD-A08,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,contracts.list;inquiries.answer;inquiries.list;invoices.create;invoices.get;invoices.list;notifications.preview;notifications.recipients;payments.confirm;payments.recordManual;invoices.remind,D01/D04/D10、各DDの異常系,AT-A08-N;AT-A08-E;AT-A08-B;AT-A08-R01;,OK
FR-A09,予告・実行確認・機器応答,00-prepare/PrepareDocument.md BIZ-21,02-design/admin.md DD-A09,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,commands.get;contracts.list;invoices.list;restrictions.execute;restrictions.get;restrictions.list;restrictions.reconcile;restrictions.release;restrictions.retry;restrictions.schedule;units.get;units.list,D01/D04/D10、各DDの異常系,AT-A09-N;AT-A09-E;AT-A09-B;AT-A09-R01;,OK
